mbid,verse_name,poetry_form,t_s,t_e,score_s,score_e,mizan,orchestra,lyric
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.3.4, ,3095.0755339893904,3099.366015589951,3134.0,3140.5,bṭāyḥī,/BrihiOrchestra,‘alá shamsin taṣfar
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.4.1, ,3099.366015589951,3104.488745688237,3141.25,3148.5,bṭāyḥī,/BrihiOrchestra,ifn yā shams āifn
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.4.2, ,3109.593875693967,3114.6261899438578,3157.25,3164.5,bṭāyḥī,/BrihiOrchestra,riqqī wazid ma‘ná
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.5.1, ,3114.6261899438578,3117.3171107859416,3165.0,3168.5,bṭāyḥī,/BrihiOrchestra,ukhruj bukrá wāi‘jal
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.5.2, ,3117.3171107859416,3120.0326054698407,3169.0,3172.5,bṭāyḥī,/BrihiOrchestra,tará awrāq al-jinān
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.5.3, ,3120.0326054698407,3125.029115688215,3173.25,3180.5,bṭāyḥī,/BrihiOrchestra,al-jinān marshūsh
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5.5.4, ,3125.029115688215,3129.754076438199,3182.0,3188.5,bṭāyḥī,/BrihiOrchestra,mufaḍḍaḍ wamudhahhab
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.1.1, ,3129.754076438199,3132.4053526849552,3189.0,3192.5,bṭāyḥī,/BrihiOrchestra,yā lahā ‘ashīyah
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.1.2, ,3132.4053526849552,3134.7406781131085,3193.0,3196.5,bṭāyḥī,/BrihiOrchestra,ṣafrah mudhhabīyah
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.1.3, ,3134.7406781131085,3137.0216936475836,3197.0,3200.5,bṭāyḥī,/BrihiOrchestra,tuhayyij mā biyā
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.1.4, ,3137.0216936475836,3143.756120463653,3201.0,3211.5,bṭāyḥī,/BrihiOrchestra,nār āshtiyāq
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.2.1, ,3159.2887500555553,3162.232110657465,3237.0,3240.5,bṭāyḥī,/BrihiOrchestra,fī jlsh bahīyan
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.2.2, ,3162.232110657465,3164.78467566033,3241.0,3244.5,bṭāyḥī,/BrihiOrchestra,warutbah ‘alīyah
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.2.3, ,3164.78467566033,3167.120001088483,3245.0,3248.5,bṭāyḥī,/BrihiOrchestra,wanaghmah dhakīyah
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.2.4, ,3167.120001088483,3173.6371883298407,3249.0,3259.5,bṭāyḥī,/BrihiOrchestra,wāunfus riqāq
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.3.1, ,3189.1155080280646,3191.9939323929975,3285.0,3288.5,bṭāyḥī,/BrihiOrchestra,tāllah yā ‘ashīyah
